id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,55,71,88,90,113,104,88,115,116,114,89,85,135,108,110
1,1:00,48,47,82,96,95,118,101,81,89,91,88,93,117,83,89
2,2:00,24,50,85,78,105,86,86,103,91,93,102,87,121,90,84
3,3:00,20,52,63,89,81,87,92,104,90,82,91,92,107,89,84
4,4:00,23,62,66,69,91,79,97,85,105,80,90,89,121,88,83
5,5:00,23,42,69,66,96,77,102,79,85,80,104,81,124,94,98
6,6:00,40,62,57,74,109,87,102,107,87,91,85,86,125,87,115
7,7:00,39,62,94,108,106,114,116,117,104,114,115,97,132,103,121
8,8:00,49,89,100,136,160,150,139,130,145,110,127,136,144,137,138
9,9:00,69,104,115,156,156,147,147,143,131,145,142,127,156,147,140
10,10:00,84,96,146,150,166,171,164,150,147,158,160,139,157,169,160
11,11:00,61,109,126,174,191,162,179,153,145,146,152,155,156,149,151
12,12:00,73,91,143,174,176,159,164,145,148,153,161,140,123,144,151
13,13:00,81,103,155,177,174,171,173,147,169,157,154,165,131,164,167
14,14:00,80,121,132,172,184,181,178,147,160,149,145,157,136,168,176
15,15:00,85,97,140,175,186,179,160,170,157,148,139,145,149,151,160
16,16:00,83,96,136,155,163,183,167,164,168,154,145,165,132,174,157
17,17:00,67,109,129,156,154,175,154,154,136,134,154,139,169,160,160
18,18:00,54,107,120,137,170,145,153,134,143,137,141,133,162,147,145
19,19:00,60,86,121,156,148,168,169,152,144,144,122,135,138,157,130
20,20:00,47,85,112,147,162,160,163,120,132,121,144,118,143,137,133
21,21:00,50,91,92,134,147,131,129,132,135,112,123,122,130,124,130
22,22:00,61,79,99,109,120,141,122,124,114,122,122,108,119,122,127
23,23:00,46,59,102,99,127,119,117,107,111,122,100,92,121,128,119
