id,time,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
0,0:00,520,1200,1900,2120,2240,2440,1980,1940,2040,1760,1820,1780,2560,2080,1840
1,1:00,640,1220,1420,1580,2200,2260,1820,1920,2060,1740,1960,1880,2420,2060,2220
2,2:00,660,1260,1340,1600,2160,1940,1900,1900,2040,1560,1620,1620,2400,1660,2060
3,3:00,780,1240,1560,1560,2080,1820,2120,1840,2100,1880,2100,1700,2380,2080,2020
4,4:00,840,920,1340,1520,1760,1700,1920,1600,2140,2140,1760,1940,2120,1980,1840
5,5:00,460,1080,1220,1720,1780,1660,1620,1880,1960,1540,1860,1960,2140,2160,1660
6,6:00,640,1340,1360,1520,1820,2100,2200,1680,1740,1800,2140,2100,2840,1800,2080
7,7:00,600,1480,1440,1880,2620,2240,2120,2200,1900,2280,2440,2340,2560,2060,2300
8,8:00,1120,1880,2520,2820,2720,2880,2940,2780,2900,2500,2440,2800,2780,2620,2660
9,9:00,1640,2180,2800,3140,3160,3080,3020,2860,2880,2920,2940,3020,3200,3040,3220
10,10:00,1400,2040,2480,3280,3440,3180,3300,2660,3300,2800,2700,2820,3140,2940,3320
11,11:00,1480,2180,3040,3440,3880,3660,3560,3100,2820,3080,2980,3000,3160,3200,3160
12,12:00,1520,2160,2820,3400,3540,3480,3460,2800,2960,3100,3220,3060,2540,2980,3220
13,13:00,1220,2240,2640,3140,3760,3640,3540,3100,3340,3080,2980,2920,2860,3460,3120
14,14:00,1460,2040,2840,3240,3640,3540,3300,3400,3400,2980,3040,2880,2760,3220,3280
15,15:00,1120,1980,3120,3440,3360,3820,3760,3220,3280,3260,2940,3120,2940,3500,3300
16,16:00,1660,2380,2980,3620,3500,3400,3680,3220,2960,2860,3120,3160,3220,3000,3000
17,17:00,1360,2180,2800,2820,3320,2980,3620,2820,2760,3220,2780,3160,2940,3340,3120
18,18:00,860,2180,2640,2840,3180,3100,3520,3160,3000,2640,2660,3000,3020,2900,2740
19,19:00,1420,1900,2240,2940,3260,3400,2960,3100,2680,3060,2480,2980,2920,3100,3020
20,20:00,920,1460,2160,2480,2740,2900,3100,2960,2580,2420,2680,2440,3140,2860,2500
21,21:00,960,1720,2080,2220,2600,2500,2800,2480,2740,2580,2380,2640,2820,2800,2420
22,22:00,860,1460,2120,2060,2600,2520,2500,2640,2640,2720,2520,2420,2840,2500,2620
23,23:00,1020,1520,1800,2360,2120,2340,2220,2220,2300,2160,2060,2240,2820,2200,2040
